Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Latitude,Longitude,Start Year,Total Deaths
Geophysical,Earthquake,Tsunami,JPN,Japan,Eastern Asia,Asia,38.67,139.195,1964,25.0
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1964,56.0
Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,,,1964,145.0
Hydrological,Flood,Flood (General),BGD,Bangladesh,Southern Asia,Asia,,,1964,
Hydrological,Flood,Flood (General),BRA,Brazil,Latin America and the Caribbean,Americas,,,1964,
Hydrological,Mass movement (wet),Landslide (wet),JPN,Japan,Eastern Asia,Asia,,,1964,108.0
Meteorological,Storm,Tropical cyclone,GLP,Guadeloupe,Latin America and the Caribbean,Americas,,,1964,14.0
Meteorological,Storm,Tropical cyclone,HTI,Haiti,Latin America and the Caribbean,Americas,,,1964,100.0
Meteorological,Storm,Tropical cyclone,DOM,Dominican Republic,Latin America and the Caribbean,Americas,,,1964,7.0
Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,,,1964,5.0
Meteorological,Storm,Tornado,PAN,Panama,Latin America and the Caribbean,Americas,,,1964,1.0
Meteorological,Storm,Storm (General),KOR,Republic of Korea,Eastern Asia,Asia,,,1964,210.0
Biological,Epidemic,Viral disease,PAN,Panama,Latin America and the Caribbean,Americas,,,1964,
Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,,,1964,
Hydrological,Flood,Flood (General),PAK,Pakistan,Southern Asia,Asia,,,1964,
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,40.203,28.206,1964,23.0
Hydrological,Flood,Flood (General),YUG,Yugoslavia,Southern Europe,Europe,,,1964,
Hydrological,Flood,Flood (General),TUN,Tunisia,Northern Africa,Africa,,,1964,44.0
Meteorological,Storm,Tropical cyclone,VNM,Viet Nam,South-eastern Asia,Asia,,,1964,7000.0
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,,,1964,580.0
Hydrological,Flood,Flood (General),USA,United States of America,Northern America,Americas,,,1964,45.0
